Model,Test Accuracy,Precision,Recall,F1 Score,5-Fold CV Accuracy
Logistic Regression,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9600000000000002
Decision Tree,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9533333333333334
k-NN,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9326599326599326,0.96
